WSI Path,XML Path,WSI Name,Folder Name
D:\AIN3007_project\train_valid_data\Breast2__he\418.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\418.xml,418,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\125.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\125.xml,125,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\351.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\351.xml,351,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\30.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\30.xml,30,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\422.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\422.xml,422,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\189.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\189.xml,189,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\174.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\174.xml,174,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\473.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\473.xml,473,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\432.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\432.xml,432,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\207.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\207.xml,207,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\214.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\214.xml,214,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\184.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\184.xml,184,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\361.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\361.xml,361,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\19.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\19.xml,19,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\154.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\154.xml,154,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\500.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\500.xml,500,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\137.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\137.xml,137,Breast2__he
D:\AIN3007_project\train_valid_data\Breast2__he\122.mrxs,D:\AIN3007_project\train_valid_data\Breast2__he\122.xml,122,Breast2__he
